2004.10.20 17:18 B E:\My Documents\programering\tkoc\webchat\webchat\background.gif --> beta.tkoc.net /www/scripts/webchat background.gif
2004.10.20 17:18 B E:\My Documents\programering\tkoc\webchat\webchat\irc-unsigned.jar --> beta.tkoc.net /www/scripts/webchat irc-unsigned.jar
2004.10.20 17:19 B E:\My Documents\programering\tkoc\webchat\webchat\irc.cab --> beta.tkoc.net /www/scripts/webchat irc.cab
2004.10.20 17:19 B E:\My Documents\programering\tkoc\webchat\webchat\irc.jar --> beta.tkoc.net /www/scripts/webchat irc.jar
2004.10.20 17:19 B E:\My Documents\programering\tkoc\webchat\webchat\IRCApplet.class --> beta.tkoc.net /www/scripts/webchat IRCApplet.class
2004.10.20 17:19 B E:\My Documents\programering\tkoc\webchat\webchat\pixx.cab --> beta.tkoc.net /www/scripts/webchat pixx.cab
2004.10.20 17:19 B E:\My Documents\programering\tkoc\webchat\webchat\pixx.jar --> beta.tkoc.net /www/scripts/webchat pixx.jar
2004.10.20 17:19 B E:\My Documents\programering\tkoc\webchat\webchat\securedirc-unsigned.cab --> beta.tkoc.net /www/scripts/webchat securedirc-unsigned.cab
2004.10.20 17:19 B E:\My Documents\programering\tkoc\webchat\webchat\securedirc.cab --> beta.tkoc.net /www/scripts/webchat securedirc.cab
2004.10.20 17:56 B E:\My Documents\programering\tkoc\webchat\webchat\english.lng --> beta.tkoc.net /www/scripts/webchat english.lng
2004.10.20 17:56 B E:\My Documents\programering\tkoc\webchat\webchat\french.lng --> beta.tkoc.net /www/scripts/webchat french.lng
2004.10.20 17:56 B E:\My Documents\programering\tkoc\webchat\webchat\license.txt --> beta.tkoc.net /www/scripts/webchat license.txt
2004.10.20 17:56 B E:\My Documents\programering\tkoc\webchat\webchat\pixx-english.lng --> beta.tkoc.net /www/scripts/webchat pixx-english.lng
2004.10.20 17:56 B E:\My Documents\programering\tkoc\webchat\webchat\pixx-french.lng --> beta.tkoc.net /www/scripts/webchat pixx-french.lng
2004.10.20 17:56 B E:\My Documents\programering\tkoc\webchat\webchat\pjirc.cfg --> beta.tkoc.net /www/scripts/webchat pjirc.cfg
2004.10.21 22:41 B E:\prog\ws_ftp\webchat\webchat\WS_FTP.LOG <-- tkoc /www/scripts/webchat WS_FTP.LOG
2004.10.21 22:43 B E:\prog\ws_ftp\webchat\webchat\background.gif --> fade.ringstad.no /www/scripts/webchat background.gif
2004.10.21 22:43 B E:\prog\ws_ftp\webchat\webchat\english.lng --> fade.ringstad.no /www/scripts/webchat english.lng
2004.10.21 22:43 B E:\prog\ws_ftp\webchat\webchat\french.lng --> fade.ringstad.no /www/scripts/webchat french.lng
2004.10.21 22:43 B E:\prog\ws_ftp\webchat\webchat\irc-unsigned.jar --> fade.ringstad.no /www/scripts/webchat irc-unsigned.jar
2004.10.21 22:43 B E:\prog\ws_ftp\webchat\webchat\irc.cab --> fade.ringstad.no /www/scripts/webchat irc.cab
2004.10.21 22:43 B E:\prog\ws_ftp\webchat\webchat\irc.jar --> fade.ringstad.no /www/scripts/webchat irc.jar
2004.10.21 22:43 B E:\prog\ws_ftp\webchat\webchat\IRCApplet.class --> fade.ringstad.no /www/scripts/webchat IRCApplet.class
2004.10.21 22:43 B E:\prog\ws_ftp\webchat\webchat\license.txt --> fade.ringstad.no /www/scripts/webchat license.txt
2004.10.21 22:43 B E:\prog\ws_ftp\webchat\webchat\pixx-english.lng --> fade.ringstad.no /www/scripts/webchat pixx-english.lng
2004.10.21 22:43 B E:\prog\ws_ftp\webchat\webchat\pixx-french.lng --> fade.ringstad.no /www/scripts/webchat pixx-french.lng
2004.10.21 22:43 B E:\prog\ws_ftp\webchat\webchat\pixx.cab --> fade.ringstad.no /www/scripts/webchat pixx.cab
2004.10.21 22:43 B E:\prog\ws_ftp\webchat\webchat\pixx.jar --> fade.ringstad.no /www/scripts/webchat pixx.jar
2004.10.21 22:43 B E:\prog\ws_ftp\webchat\webchat\pjirc.cfg --> fade.ringstad.no /www/scripts/webchat pjirc.cfg
2004.10.21 22:43 B E:\prog\ws_ftp\webchat\webchat\securedirc-unsigned.cab --> fade.ringstad.no /www/scripts/webchat securedirc-unsigned.cab
2004.10.21 22:43 B E:\prog\ws_ftp\webchat\webchat\securedirc.cab --> fade.ringstad.no /www/scripts/webchat securedirc.cab
2004.10.21 22:43 B E:\prog\ws_ftp\webchat\webchat\WS_FTP.LOG --> fade.ringstad.no /www/scripts/webchat WS_FTP.LOG
2004.10.23 13:29 B E:\prog\ws_ftp\webchat\webchat\background.gif --> beta.tkoc.net /www/administration/webchat background.gif
2004.10.23 13:29 B E:\prog\ws_ftp\webchat\webchat\english.lng --> beta.tkoc.net /www/administration/webchat english.lng
2004.10.23 13:29 B E:\prog\ws_ftp\webchat\webchat\french.lng --> beta.tkoc.net /www/administration/webchat french.lng
2004.10.23 13:29 B E:\prog\ws_ftp\webchat\webchat\irc-unsigned.jar --> beta.tkoc.net /www/administration/webchat irc-unsigned.jar
2004.10.23 13:29 B E:\prog\ws_ftp\webchat\webchat\irc.cab --> beta.tkoc.net /www/administration/webchat irc.cab
2004.10.23 13:30 B E:\prog\ws_ftp\webchat\webchat\irc.jar --> beta.tkoc.net /www/administration/webchat irc.jar
2004.10.23 13:30 B E:\prog\ws_ftp\webchat\webchat\IRCApplet.class --> beta.tkoc.net /www/administration/webchat IRCApplet.class
2004.10.23 13:30 B E:\prog\ws_ftp\webchat\webchat\license.txt --> beta.tkoc.net /www/administration/webchat license.txt
2004.10.23 13:30 B E:\prog\ws_ftp\webchat\webchat\pixx-english.lng --> beta.tkoc.net /www/administration/webchat pixx-english.lng
2004.10.23 13:30 B E:\prog\ws_ftp\webchat\webchat\pixx-french.lng --> beta.tkoc.net /www/administration/webchat pixx-french.lng
2004.10.23 13:30 B E:\prog\ws_ftp\webchat\webchat\pixx.cab --> beta.tkoc.net /www/administration/webchat pixx.cab
2004.10.23 13:30 B E:\prog\ws_ftp\webchat\webchat\pixx.jar --> beta.tkoc.net /www/administration/webchat pixx.jar
2004.10.23 13:30 B E:\prog\ws_ftp\webchat\webchat\pjirc.cfg --> beta.tkoc.net /www/administration/webchat pjirc.cfg
2004.10.23 13:30 B E:\prog\ws_ftp\webchat\webchat\securedirc-unsigned.cab --> beta.tkoc.net /www/administration/webchat securedirc-unsigned.cab
2004.10.23 13:30 B E:\prog\ws_ftp\webchat\webchat\securedirc.cab --> beta.tkoc.net /www/administration/webchat securedirc.cab
2004.10.23 13:30 B E:\prog\ws_ftp\webchat\webchat\WS_FTP.LOG --> beta.tkoc.net /www/administration/webchat WS_FTP.LOG
2004.10.23 15:55 B E:\prog\ws_ftp\webchat\webchat\background.gif --> fade.ringstad.no /www/administration/webchat background.gif
2004.10.23 15:55 B E:\prog\ws_ftp\webchat\webchat\english.lng --> fade.ringstad.no /www/administration/webchat english.lng
2004.10.23 15:55 B E:\prog\ws_ftp\webchat\webchat\french.lng --> fade.ringstad.no /www/administration/webchat french.lng
2004.10.23 15:55 B E:\prog\ws_ftp\webchat\webchat\irc-unsigned.jar --> fade.ringstad.no /www/administration/webchat irc-unsigned.jar
2004.10.23 15:56 B E:\prog\ws_ftp\webchat\webchat\irc.cab --> fade.ringstad.no /www/administration/webchat irc.cab
2004.10.23 15:56 B E:\prog\ws_ftp\webchat\webchat\irc.jar --> fade.ringstad.no /www/administration/webchat irc.jar
2004.10.23 15:56 B E:\prog\ws_ftp\webchat\webchat\IRCApplet.class --> fade.ringstad.no /www/administration/webchat IRCApplet.class
2004.10.23 15:56 B E:\prog\ws_ftp\webchat\webchat\license.txt --> fade.ringstad.no /www/administration/webchat license.txt
2004.10.23 15:56 B E:\prog\ws_ftp\webchat\webchat\pixx-english.lng --> fade.ringstad.no /www/administration/webchat pixx-english.lng
2004.10.23 15:56 B E:\prog\ws_ftp\webchat\webchat\pixx-french.lng --> fade.ringstad.no /www/administration/webchat pixx-french.lng
2004.10.23 15:56 B E:\prog\ws_ftp\webchat\webchat\pixx.cab --> fade.ringstad.no /www/administration/webchat pixx.cab
2004.10.23 15:56 B E:\prog\ws_ftp\webchat\webchat\pixx.jar --> fade.ringstad.no /www/administration/webchat pixx.jar
2004.10.23 15:56 B E:\prog\ws_ftp\webchat\webchat\pjirc.cfg --> fade.ringstad.no /www/administration/webchat pjirc.cfg
2004.10.23 15:56 B E:\prog\ws_ftp\webchat\webchat\securedirc-unsigned.cab --> fade.ringstad.no /www/administration/webchat securedirc-unsigned.cab
2004.10.23 15:56 B E:\prog\ws_ftp\webchat\webchat\securedirc.cab --> fade.ringstad.no /www/administration/webchat securedirc.cab
